record_id,district,district_lgd_code,tehsil,pargana,village,village_lgd_code,khata_no,khasra_no,ulpin,ror_date_of_issue,owner_names,owner_shares,area_hectare,land_revenue_rs,land_classification,deed_document_no,deed_registration_date,deed_vendor,deed_vendee,deed_survey_no,deed_sale_consideration_rs,deed_stamp_duty_rs,mutation_case_no,mutation_filing_date,mutation_order_date,mutation_nature,mutation_transferor,mutation_transferee,cadastral_sheet_no,cadastral_centroid_lat,cadastral_centroid_lon,cadastral_calculated_area_sqm,confidence_score,validation_status,is_noisy_variant,injected_error_count,injected_error_types
DL-0001,Kanchipuram,599,Fatehpur,Tirumakudalu,Kondhali,445987,00229,117/2,75QA02657Q4428,13/02/2023,Kavita Naidu; Arumugam Kumar,1/2; 1/2,1.9091,164.92,Agricultural (Irrigated),204 of 2018,20/11/2018,Kavita Naidu,Arumugam Kumar,117/2,6860408,480200.0,MUT-2018-2584,22/01/2018,03/05/2018,Inheritance,Kavita Naidu,Arumugam Kumar,04,16.74367,78.75165,19091.0,0.83,FLAGGED,False,0,
DL-0002,Cuttack,331,Danapur,Baramba,Baideswar,331550,00215,185/5,96QE71396Q2370,12/07/2023,Sunita Reddy; Mahesh Singh,1/2; 1/2,2.0634,231.52,Agricultural (Nanja/Wet),771 of 2021,16/09/2021,Sunita Reddy,Mahesh Singh,185/5,7550805,528600.0,MUT-2021-8517,06/11/2021,03/10/2022,Court Decree Partition,Sunita Reddy,Mahesh Singh,20,13.28595,77.11704,20634.0,0.98,VALID,False,0,
DL-0003,Barabanki,214,Sriperumbudur,Tirumakudalu,Baideswar,331550,00115,137/7A,49XG51982Q6175,27/08/2023,Ramesh Nair; Vinod Sharma,1/2; 1/2,1.9576,198.14,Agricultural (Irrigated),471 of 2024,22/03/2024,Ramesh Nair,Vinod Sharma,137/7A,10539440,737800.0,MUT-2024-6038,28/09/2025,18/04/2025,Inheritance,Ramesh Nair,Vinod Sharma,10,14.83124,77.92697,19576.0,0.95,VALID,False,0,
DL-0004,Hooghly,271,Sriperumbudur,Saoner,Kondhali,445987,00066,143/1,55AS00035N6219,11/12/2022,Meena Verma; Raman Lal,1/2; 1/2,1.4491,143.33,Agricultural (Irrigated),541 of 2020,07/04/2020,Meena Verma,Raman Lal,143/1,5472695,383100.0,MUT-2020-7735,09/03/2021,28/04/2021,Transfer by Registered Sale Deed,Meena Verma,Raman Lal,18,18.47239,81.83261,14491.0,0.99,VALID,False,0,
DL-0005,Barabanki,214,Sriperumbudur,Saoner,Rampur,331201,00417,162/8A,89DA39726Q6412,22/02/2023,Suresh Rao; Vinod Chand,1/2; 1/2,0.1933,21.15,Agricultural (Nanja/Wet),588 of 2022,19/02/2022,Suresh Rao,Vinod Chand,162/8A,1132001,79200.0,MUT-2022-9701,22/07/2022,07/05/2023,Gift Deed,Suresh Rao,Vinod Chand,09,13.51892,83.68623,1933.0,0.83,FLAGGED,False,0,
DL-0006,Hooghly,271,Athagarh,Walajabad,Nemili,629142,00470,179/2A,55DJ02245N6960,03/01/2022,Ganesh Kumar; Arumugam Lal,1/2; 1/2,2.0519,188.72,Barren/Uncultivable,666 of 2019,02/05/2019,Ganesh Kumar,Arumugam Lal,179/2A,6447707,451300.0,MUT-2019-5616,09/11/2019,15/12/2019,Court Decree Partition,Ganesh Kumar,Arumugam Lal,01,20.67728,81.7409,20519.0,0.95,VALID,False,0,
DL-0007,Barabanki,214,Athagarh,Bikram,Roopangarh,104330,00131,105/5B,87WX22178P9792,07/04/2022,Murugan Verma; Ramesh Kumar,1/2; 1/2,0.4481,50.19,Residential,921 of 2023,27/05/2023,Murugan Verma,Ramesh Kumar,105/5B,2520180,176400.0,MUT-2023-5065,11/07/2023,25/02/2024,Gift Deed,Murugan Verma,Ramesh Kumar,17,15.26889,82.299,4481.0,0.96,VALID,False,0,
DL-0008,Kanchipuram,599,Nanjangud,Bikram,Hadinaru,556210,00040,113/7B,73QN35270Q6971,13/11/2022,Vinod Nair; Vinod Pillai,1/2; 1/2,1.1067,130.54,Barren/Uncultivable,407 of 2022,19/10/2022,Vinod Nair,Vinod Pillai,113/7B,3649047,255400.0,MUT-2022-7691,10/05/2022,26/07/2022,Gift Deed,Vinod Nair,Vinod Pillai,15,16.21893,81.57767,11067.0,0.76,FLAGGED,False,0,
DL-0009,Patna,021,Sriperumbudur,Tirumakudalu,Baideswar,331550,00096,196/4,38DB96748Q1642,17/12/2023,Ganesh Verma; Selvam Kumar,1/2; 1/2,1.6573,132.95,Residential,151 of 2022,24/03/2022,Ganesh Verma,Selvam Kumar,196/4,5046831,353300.0,MUT-2022-2988,09/11/2022,08/11/2023,Gift Deed,Ganesh Verma,Selvam Kumar,03,18.30339,82.41133,16573.0,0.67,FLAGGED,False,0,
DL-0010,Cuttack,331,Sriperumbudur,Bikram,Rampur,331201,00237,149/3,24HM08379L8730,20/03/2022,Kavita Gupta; Geeta Nair,1/2; 1/2,0.9118,100.42,Village Commons,324 of 2020,19/07/2020,Kavita Gupta,Geeta Nair,149/3,3490395,244300.0,MUT-2020-8956,28/03/2021,02/03/2021,Gift Deed,Kavita Gupta,Geeta Nair,11,11.4644,78.68904,9118.0,0.7,FLAGGED,False,0,
