record_id,district,district_lgd_code,tehsil,pargana,village,village_lgd_code,khata_no,khasra_no,ulpin,ror_date_of_issue,owner_names,owner_shares,area_hectare,land_revenue_rs,land_classification,deed_document_no,deed_registration_date,deed_vendor,deed_vendee,deed_survey_no,deed_sale_consideration_rs,deed_stamp_duty_rs,mutation_case_no,mutation_filing_date,mutation_order_date,mutation_nature,mutation_transferor,mutation_transferee,cadastral_sheet_no,cadastral_centroid_lat,cadastral_centroid_lon,cadastral_calculated_area_sqm,confidence_score,validation_status,is_noisy_variant,injected_error_count,injected_error_types
DL-0001,Kanchipuram,599,Fatehpur,Tirumakudalu,Kondhali,445987,00ZZ9,1l 7/2,75QA02657Q4428,13/02/2023,Kavita Naidu; Arumuga m Kuma r,1/2; 1/2,1.9091,164.92,Agricultural (Irrigated),204 of 2O18,20/11/2018,Kavita Naidu,Arumugam Kumar,117/2,6860408,480200.0,MUT-20l8-2584,22/01/2018,03/05/2018,Inheritance,Kavita Naidu,Arumugam Kumar,04,16.74367,78.75165,19668.14,0.53,FAILED_CRITICAL,True,6,ocr_char_confusion; ocr_char_confusion; ocr_char_confusion; ocr_char_confusion; handwriting_misread; cross_document_area_mismatch
DL-0002,Cuttack,331,Danapur,Baramba,Baideswar,331550,00215,185/5,96QE71396QZ370,12/07/2023,Sunita Reddy; Ma hesh Singh,1/2; 1/2,2.0634,231.52,Agricultural (Nanja/Wet),771 of 2021,16/09/2021,Sunita Reddy,Mahesh Singh,185/5,7550805,528600.0,MUT-20Z1-B5 l7,06/11/2021,03/10/2022,Court Decree Partition,Sunita Reddy,Mahesh Singh,20,13.28595,77.11704,20634.0,0.83,FLAGGED,True,3,ocr_char_confusion; ocr_char_confusion; handwriting_misread
DL-0003,Barabanki,214,Sriperumbudur,Tirumakudalu,Baideswar,331550,0115,137/7A,49XG51982Q6175,27/08/2023,Ramesh Nair; Vinod Sharma,1/2; 1/2,1.9576,198.14,Agricultural (Irrigated),471 of 2O24,22/03/2024,Ramesh Nair,Vinod Sharma,l37/ 7A,10539440,737800.0,MUT-2024-GO38,28/09/2025,18/04/2025,Inheritance,Ramesh Nair,Vinod Sharma,10,14.83124,77.92697,20975.75,0.7,FLAGGED,True,5,ocr_char_confusion; ocr_char_confusion; ocr_char_confusion; cross_document_area_mismatch; cross_document_khasra_mismatch
DL-0004,Hooghly,271,Sriperumbudur,Saoner,Kondhali,445987,000G6,143/1,55A500O35N6219,11/12/2022,Meena Verma; Raman Lal,1/2; 1/2,1.4491,1433.3,Agricultural (Irrigated),541 of 2020,07/04/2020,Meena Verma,Raman Lal,143/1,5472695,383100.0,MUT-2020-7735,09/03/2021,28/04/2021,Transfer by Registered Sale Deed,Meena Verma,Raman Lal,18,18.47239,81.83261,14491.0,0.84,FLAGGED,True,3,ocr_char_confusion; ocr_char_confusion; decimal_point_ocr_error
DL-0005,Barabanki,214,Sriperumbudur,Saoner,Rampur,331201,004l7,1G 2/8A,89DA39726Q6412,22/02/2023,Suresh Rao; Vinod C a nd,1/2; 1/2,0.1933,211.5,Agricultural (Nanja/Wet),588 of 2022,19/02/2022,Suresh Rao,Vinod Chand,162/8A,1132001,79200.0,MUT-202Z-970l,22/07/2022,07/05/2023,Gift Deed,Suresh Rao,Vinod Chand,09,13.51892,83.68623,2055.11,0.53,FAILED_CRITICAL,True,6,ocr_char_confusion; ocr_char_confusion; ocr_char_confusion; handwriting_misread; cross_document_area_mismatch; decimal_point_ocr_error
DL-0006,Hooghly,271,Athagarh,Walajabad,Nemili,629142,O O470,179/2A,55DJ02245N6960,03/01/2022,Ganesh Kumar; Arumugam Lal,1/2; 1/2,2.0519,188.72,Barren/Uncultivable,666 of  2019,02/05/2019,Ganesh Kumar,Arumugam Lal,179/ZA,6447707,451300.0,MUT-2019-5616,09/11/2019,15/12/2019,Court Decree Partition,Ganesh Kumar,Arumugam Lal,01,20.67728,81.7409,20519.0,0.8,FLAGGED,True,3,ocr_char_confusion; ocr_char_confusion; cross_document_khasra_mismatch
DL-0007,Barabanki,214,Athagarh,Bikram,Roopangarh,104330,00131,105/5B,87W2Z178P9792,07/04/2022,Muruga  n Verma; Ramesh Kumar,1/2; 1/2,0.4481,5.02,Residential,9Z1 of ZO 23,27/05/2023,Murugan Verma,Ramesh Kumar,l05/5B,2520180,176400.0,MUT-2 0Z3-5O6S,11/07/2023,25/02/2024,Gift Deed,Murugan Verma,Ramesh Kumar,17,15.26889,82.299,4746.0,0.61,FLAGGED,True,7,ocr_char_confusion; ocr_char_confusion; ocr_char_confusion; handwriting_misread; cross_document_area_mismatch; cross_document_khasra_mismatch; decimal_point_ocr_error
DL-0008,Kanchipuram,599,Nanjangud,Bikram,Hadinaru,556210,O0040,113/7B,73QN3527 0Q6971,13/11/2022,Vinod Nair; Vinod Pilla i,1/2; 1/2,1.1067,130.54,Barren/Uncultivable,407 of 2022,19/10/2022,Vinod Nair,Vinod Pillai,113/7B,3649047,255400.0,MUT-2O22-7691,10/05/2022,26/07/2022,Gift Deed,Vinod Nair,Vinod Pillai,15,16.21893,81.57767,12348.82,0.51,FAILED_CRITICAL,True,5,ocr_char_confusion; ocr_char_confusion; ocr_char_confusion; handwriting_misread; cross_document_area_mismatch
DL-0009,Patna,021,Sriperumbudur,Tirumakudalu,Baideswar,331550,00 O96,l96/4,3BDB96748Q1642,17/12/2023,Ganesh Verma; 5elva m Kuma r,1/2; 1/2,1.6573,13.29,Residential,151 of 2022,24/03/2022,Ganesh Verma,Selvam Kumar,19G/4,5046831,353300.0,MUT-2022-2988,09/11/2022,08/11/2023,Gift Deed,Ganesh Verma,Selvam Kumar,03,18.30339,82.41133,17340.77,0.32,FAILED_CRITICAL,True,7,ocr_char_confusion; ocr_char_confusion; ocr_char_confusion; handwriting_misread; cross_document_area_mismatch; cross_document_khasra_mismatch; decimal_point_ocr_error
DL-0010,Cuttack,331,Sriperumbudur,Bikram,Rampur,331201,OOZ37,14 9/3,24HM08379L8730,20/03/2022,Kavita Gupta; Geeta Nair,1/2; 1/2,0.9118,10.04,Village Commons,324 of  2020,19/07/2020,Kavita Gupta,Geeta Nair,149/3,3490395,244300.0,MUT-2020-8956,28/03/2021,02/03/2021,Gift Deed,Kavita Gupta,Geeta Nair,11,11.4644,78.68904,9118.0,0.5,FAILED_CRITICAL,True,4,ocr_char_confusion; ocr_char_confusion; ocr_char_confusion; decimal_point_ocr_error
